node D L T
671145 0.0105952 0.815743 0.529761
2071873 0.0105952 0.815743 0.529761
1872699 0.0105952 0.815743 0.529761
2937524 0.0105952 0.815743 0.529761
2938695 0.0105952 0.815743 0.529761
2953748 0.0105952 0.815743 0.529761
553468 0.0105952 0.815743 0.529761
797209 0.0105952 0.815743 0.529761
1008152 0.0105952 0.815743 0.529761
755306 0.0105952 0.815743 0.529761
996166 0.0105952 0.815743 0.529761
755308 0.0105952 0.815743 0.529761
558529 0.0105952 0.815743 0.529761
926360 0.0105952 0.815743 0.529761
2784880 0.0105952 0.815743 0.529761
1227454 0.0105952 0.815743 0.529761
1227499 0.0105952 0.815743 0.529761
2979990 0.0105952 0.815743 0.529761
2419781 0.0105952 0.815743 0.529761
253108 0.0105952 0.815743 0.529761
148449 0.0105952 0.815743 0.529761
2932267 0.0105952 0.815743 0.529761
1849069 0.0105952 0.815743 0.529761
1586232 0.0105952 0.815743 0.529761
2816475 0.0105952 0.815743 0.529761
543526 0.0105952 0.815743 0.529761
2741724 0.0105952 0.815743 0.529761
547559 0.0105952 0.815743 0.529761
29540 0.0105952 0.815743 0.529761
1230458 0.0105952 0.815743 0.529761
1227492 0.0105952 0.815743 0.529761
2448032 0.0105952 0.815743 0.529761
1095778 0.0105952 0.815743 0.529761
148448 0.0105952 0.815743 0.529761
2044521 0.0105952 0.815743 0.529761
745377 0.0105952 0.815743 0.529761
797302 0.0105952 0.815743 0.529761
1227490 0.0105952 0.815743 0.529761
1487865 0.0105952 0.815743 0.529761
619731 0.0105952 0.815743 0.529761
797299 0.0105952 0.815743 0.529761
1679083 0.0105952 0.815743 0.529761
1679091 0.0105952 0.815743 0.529761
1227497 0.0105952 0.815743 0.529761
1227498 0.0105952 0.815743 0.529761
694430 0.0105952 0.815743 0.529761
2055836 0.0105952 0.815743 0.529761
588898 0.0105952 0.815743 0.529761
1227500 0.0105952 0.815743 0.529761
348826 0.0105952 0.815743 0.529761
640943 0.0105952 0.815743 0.529761
1095776 0.0105952 0.815743 0.529761
308853 0.0105952 0.815743 0.529761
2691917 0.0105952 0.815743 0.529761
2953753 0.0105952 0.815743 0.529761
2979988 0.0105952 0.815743 0.529761
1227494 0.0105952 0.815743 0.529761
1230457 0.0105952 0.815743 0.529761
797303 0.0105952 0.815743 0.529761
392421 0.0105952 0.815743 0.529761
1930624 0.0105952 0.815743 0.529761
1699371 0.0105952 0.815743 0.529761
1202768 0.0105952 0.815743 0.529761
301967 0.0105952 0.815743 0.529761
1710539 0.0105952 0.815743 0.529761
